"","series","variable","value"
"1",1974,"deaths",3035
"2",1974.08333333333,"deaths",2552
"3",1974.16666666667,"deaths",2704
"4",1974.25,"deaths",2554
"5",1974.33333333333,"deaths",2014
"6",1974.41666666667,"deaths",1655
"7",1974.5,"deaths",1721
"8",1974.58333333333,"deaths",1524
"9",1974.66666666667,"deaths",1596
"10",1974.75,"deaths",2074
"11",1974.83333333333,"deaths",2199
"12",1974.91666666667,"deaths",2512
"13",1975,"deaths",2933
"14",1975.08333333333,"deaths",2889
"15",1975.16666666667,"deaths",2938
"16",1975.25,"deaths",2497
"17",1975.33333333333,"deaths",1870
"18",1975.41666666667,"deaths",1726
"19",1975.5,"deaths",1607
"20",1975.58333333333,"deaths",1545
"21",1975.66666666667,"deaths",1396
"22",1975.75,"deaths",1787
"23",1975.83333333333,"deaths",2076
"24",1975.91666666667,"deaths",2837
"25",1976,"deaths",2787
"26",1976.08333333333,"deaths",3891
"27",1976.16666666667,"deaths",3179
"28",1976.25,"deaths",2011
"29",1976.33333333333,"deaths",1636
"30",1976.41666666667,"deaths",1580
"31",1976.5,"deaths",1489
"32",1976.58333333333,"deaths",1300
"33",1976.66666666667,"deaths",1356
"34",1976.75,"deaths",1653
"35",1976.83333333333,"deaths",2013
"36",1976.91666666667,"deaths",2823
"37",1977,"deaths",3102
"38",1977.08333333334,"deaths",2294
"39",1977.16666666667,"deaths",2385
"40",1977.25,"deaths",2444
"41",1977.33333333334,"deaths",1748
"42",1977.41666666667,"deaths",1554
"43",1977.5,"deaths",1498
"44",1977.58333333334,"deaths",1361
"45",1977.66666666667,"deaths",1346
"46",1977.75,"deaths",1564
"47",1977.83333333334,"deaths",1640
"48",1977.91666666667,"deaths",2293
"49",1978,"deaths",2815
"50",1978.08333333334,"deaths",3137
"51",1978.16666666667,"deaths",2679
"52",1978.25,"deaths",1969
"53",1978.33333333334,"deaths",1870
"54",1978.41666666667,"deaths",1633
"55",1978.5,"deaths",1529
"56",1978.58333333334,"deaths",1366
"57",1978.66666666667,"deaths",1357
"58",1978.75,"deaths",1570
"59",1978.83333333334,"deaths",1535
"60",1978.91666666667,"deaths",2491
"61",1979,"deaths",3084
"62",1979.08333333334,"deaths",2605
"63",1979.16666666667,"deaths",2573
"64",1979.25,"deaths",2143
"65",1979.33333333334,"deaths",1693
"66",1979.41666666667,"deaths",1504
"67",1979.5,"deaths",1461
"68",1979.58333333334,"deaths",1354
"69",1979.66666666667,"deaths",1333
"70",1979.75,"deaths",1492
"71",1979.83333333334,"deaths",1781
"72",1979.91666666667,"deaths",1915
"73",1974,"male",2134
"74",1974.08333333333,"male",1863
"75",1974.16666666667,"male",1877
"76",1974.25,"male",1877
"77",1974.33333333333,"male",1492
"78",1974.41666666667,"male",1249
"79",1974.5,"male",1280
"80",1974.58333333333,"male",1131
"81",1974.66666666667,"male",1209
"82",1974.75,"male",1492
"83",1974.83333333333,"male",1621
"84",1974.91666666667,"male",1846
"85",1975,"male",2103
"86",1975.08333333333,"male",2137
"87",1975.16666666667,"male",2153
"88",1975.25,"male",1833
"89",1975.33333333333,"male",1403
"90",1975.41666666667,"male",1288
"91",1975.5,"male",1186
"92",1975.58333333333,"male",1133
"93",1975.66666666667,"male",1053
"94",1975.75,"male",1347
"95",1975.83333333333,"male",1545
"96",1975.91666666667,"male",2066
"97",1976,"male",2020
"98",1976.08333333333,"male",2750
"99",1976.16666666667,"male",2283
"100",1976.25,"male",1479
"101",1976.33333333333,"male",1189
"102",1976.41666666667,"male",1160
"103",1976.5,"male",1113
"104",1976.58333333333,"male",970
"105",1976.66666666667,"male",999
"106",1976.75,"male",1208
"107",1976.83333333333,"male",1467
"108",1976.91666666667,"male",2059
"109",1977,"male",2240
"110",1977.08333333334,"male",1634
"111",1977.16666666667,"male",1722
"112",1977.25,"male",1801
"113",1977.33333333334,"male",1246
"114",1977.41666666667,"male",1162
"115",1977.5,"male",1087
"116",1977.58333333334,"male",1013
"117",1977.66666666667,"male",959
"118",1977.75,"male",1179
"119",1977.83333333334,"male",1229
"120",1977.91666666667,"male",1655
"121",1978,"male",2019
"122",1978.08333333334,"male",2284
"123",1978.16666666667,"male",1942
"124",1978.25,"male",1423
"125",1978.33333333334,"male",1340
"126",1978.41666666667,"male",1187
"127",1978.5,"male",1098
"128",1978.58333333334,"male",1004
"129",1978.66666666667,"male",970
"130",1978.75,"male",1140
"131",1978.83333333334,"male",1110
"132",1978.91666666667,"male",1812
"133",1979,"male",2263
"134",1979.08333333334,"male",1820
"135",1979.16666666667,"male",1846
"136",1979.25,"male",1531
"137",1979.33333333334,"male",1215
"138",1979.41666666667,"male",1075
"139",1979.5,"male",1056
"140",1979.58333333334,"male",975
"141",1979.66666666667,"male",940
"142",1979.75,"male",1081
"143",1979.83333333334,"male",1294
"144",1979.91666666667,"male",1341
"145",1974,"female",901
"146",1974.08333333333,"female",689
"147",1974.16666666667,"female",827
"148",1974.25,"female",677
"149",1974.33333333333,"female",522
"150",1974.41666666667,"female",406
"151",1974.5,"female",441
"152",1974.58333333333,"female",393
"153",1974.66666666667,"female",387
"154",1974.75,"female",582
"155",1974.83333333333,"female",578
"156",1974.91666666667,"female",666
"157",1975,"female",830
"158",1975.08333333333,"female",752
"159",1975.16666666667,"female",785
"160",1975.25,"female",664
"161",1975.33333333333,"female",467
"162",1975.41666666667,"female",438
"163",1975.5,"female",421
"164",1975.58333333333,"female",412
"165",1975.66666666667,"female",343
"166",1975.75,"female",440
"167",1975.83333333333,"female",531
"168",1975.91666666667,"female",771
"169",1976,"female",767
"170",1976.08333333333,"female",1141
"171",1976.16666666667,"female",896
"172",1976.25,"female",532
"173",1976.33333333333,"female",447
"174",1976.41666666667,"female",420
"175",1976.5,"female",376
"176",1976.58333333333,"female",330
"177",1976.66666666667,"female",357
"178",1976.75,"female",445
"179",1976.83333333333,"female",546
"180",1976.91666666667,"female",764
"181",1977,"female",862
"182",1977.08333333334,"female",660
"183",1977.16666666667,"female",663
"184",1977.25,"female",643
"185",1977.33333333334,"female",502
